DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
01/04/2023,37,Terra Alta,430640,Gandesa,2.24,0.00,0.00,2.24
01/04/2023,08,Baix Camp,430075,"Aleixar, l'",1.00,0.00,0.00,1.00
02/04/2023,20,Gironès,170890,Llagostera,0.06,0.00,0.00,0.06
02/04/2023,09,Baix Ebre,439018,Deltebre,0.00,0.09,0.00,0.09
02/04/2023,33,Segrià,250143,Alfés,0.04,0.05,0.00,0.09
03/04/2023,11,Baix Llobregat,082956,Vallirana,0.00,0.09,0.00,0.09
03/04/2023,19,Garrotxa,170216,Beuda,0.02,0.00,0.00,0.02
04/04/2023,07,Bages,080121,Avinyó,0.01,0.00,0.00,0.01
04/04/2023,21,Maresme,080305,Cabrils,0.00,0.02,0.00,0.02
05/04/2023,11,Baix Llobregat,081234,Molins de Rei,0.00,0.00,0.00,0.00
05/04/2023,08,Baix Camp,431299,Riudoms,0.00,2.00,0.00,2.00
05/04/2023,02,Alt Empordà,171387,Portbou,0.43,2.62,0.00,3.05
05/04/2023,03,Alt Penedès,082883,Torrelles de Foix,0.00,0.03,0.00,0.03
05/04/2023,40,Vallès Occidental,081878,Sabadell,0.00,0.01,0.00,0.01
05/04/2023,12,Baix Penedès,430901,"Montmell, el",0.11,0.00,0.00,0.11
06/04/2023,18,Garrigues,250061,"Albagés, l'",0.00,0.48,0.00,0.48
07/04/2023,10,Baix Empordà,171997,Torroella de Montgrí,0.00,0.04,0.00,0.04
07/04/2023,03,Alt Penedès,082515,Santa Margarida i els Monjos,0.00,0.24,0.00,0.24
07/04/2023,23,Noguera,250352,"Sentiu de Sió, la",0.50,0.60,0.00,1.10
07/04/2023,21,Maresme,082819,Teià,0.01,0.00,0.00,0.01
07/04/2023,04,Alt Urgell,251850,Ribera d'Urgellet,0.02,0.00,0.00,0.02
08/04/2023,40,Vallès Occidental,081206,Matadepera,0.03,0.00,0.00,0.03
08/04/2023,01,Alt Camp,430918,Mont-ral,0.00,0.06,0.00,0.06
08/04/2023,41,Vallès Oriental,082021,Sant Celoni,0.02,0.00,0.00,0.02
08/04/2023,22,Montsià,431362,Sant Carles de la Ràpita,0.00,0.68,0.00,0.68
09/04/2023,11,Baix Llobregat,081477,Olesa de Montserrat,0.00,0.40,0.00,0.40
09/04/2023,24,Osona,172121,Vidrà,0.04,0.00,0.00,0.04
10/04/2023,29,Priorat,431747,"Vilella Baixa, la",0.00,0.02,0.00,0.02
11/04/2023,15,Cerdanya,251272,Lles de Cerdanya,0.06,0.00,0.00,0.06
11/04/2023,40,Vallès Occidental,080543,Castellbisbal,0.00,0.10,0.00,0.10
12/04/2023,05,Alta Ribagorça,250432,"Vall de Boí, la",0.03,0.05,0.00,0.08
12/04/2023,13,Barcelonès,080155,Badalona,0.00,0.10,0.00,0.10
12/04/2023,40,Vallès Occidental,080543,Castellbisbal,0.05,0.00,0.00,0.05
12/04/2023,13,Barcelonès,080193,Barcelona,0.00,0.00,0.00,0.00
13/04/2023,21,Maresme,080351,Calella,0.20,0.00,0.00,0.20
13/04/2023,40,Vallès Occidental,082606,Santa Perpètua de Mogoda,0.00,0.01,0.00,0.01
13/04/2023,40,Vallès Occidental,081878,Sabadell,0.40,0.00,0.00,0.40
13/04/2023,41,Vallès Oriental,081593,Parets del Vallès,0.00,0.40,0.00,0.40
13/04/2023,08,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,3.00,0.00,0.00,3.00
14/04/2023,26,Pallars Sobirà,250390,Baix Pallars,0.00,0.04,0.00,0.04
14/04/2023,08,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,0.00,0.05,0.00,0.05
14/04/2023,41,Vallès Oriental,080057,"Ametlla del Vallès, l'",0.30,0.06,0.00,0.36
15/04/2023,33,Segrià,251023,"Granja d'Escarp, la",36.79,89.41,12.00,126.20
15/04/2023,25,Pallars Jussà,251961,Sant Esteve de la Sarga,0.00,0.00,0.00,0.00
15/04/2023,03,Alt Penedès,082883,Torrelles de Foix,0.00,0.03,0.00,0.03
15/04/2023,34,Selva,170950,Lloret de Mar,0.04,0.00,0.00,0.04
15/04/2023,01,Alt Camp,431613,Valls,0.85,0.00,0.00,0.85
16/04/2023,09,Baix Ebre,431554,Tortosa,0.03,0.00,0.00,0.03
16/04/2023,42,Moianès,080348,Calders,0.18,0.00,0.00,0.18
16/04/2023,02,Alt Empordà,171387,Portbou,1.96,133.44,0.00,135.40
17/04/2023,09,Baix Ebre,431554,Tortosa,0.00,0.83,0.00,0.83
17/04/2023,09,Baix Ebre,431554,Tortosa,0.27,0.00,0.00,0.27
17/04/2023,11,Baix Llobregat,081141,Martorell,0.01,0.01,0.00,0.02
17/04/2023,09,Baix Ebre,431554,Tortosa,0.00,0.08,0.00,0.08
17/04/2023,14,Berguedà,080229,Berga,0.00,0.02,0.00,0.02
18/04/2023,09,Baix Ebre,431331,Roquetes,0.00,0.48,0.00,0.48
20/04/2023,11,Baix Llobregat,081691,"Prat de Llobregat, el",0.00,1.90,0.00,1.90
20/04/2023,23,Noguera,251500,Oliola,0.00,0.00,0.00,0.00
21/04/2023,35,Solsonès,251484,Odèn,0.41,0.00,0.00,0.41
21/04/2023,40,Vallès Occidental,081252,Montcada i Reixac,0.00,1.01,0.00,1.01
22/04/2023,26,Pallars Sobirà,250390,Baix Pallars,0.00,0.00,0.00,0.00
22/04/2023,13,Barcelonès,080193,Barcelona,0.00,0.06,0.00,0.06
23/04/2023,03,Alt Penedès,082515,Santa Margarida i els Monjos,0.51,0.00,0.00,0.51
23/04/2023,21,Maresme,082845,Tordera,0.00,0.04,0.00,0.04
23/04/2023,06,Anoia,083020,Vilanova del Camí,0.00,0.00,0.00,0.00
24/04/2023,40,Vallès Occidental,082798,Terrassa,0.01,0.00,0.00,0.01
24/04/2023,29,Priorat,430496,Cornudella de Montsant,0.00,0.15,0.00,0.15
25/04/2023,03,Alt Penedès,080654,Castellví de la Marca,0.25,0.00,0.00,0.25
27/04/2023,33,Segrià,250788,Corbins,0.00,0.90,0.00,0.90
27/04/2023,10,Baix Empordà,172044,Ullà,0.00,0.12,0.00,0.12
28/04/2023,35,Solsonès,251116,Guixers,0.00,0.00,0.00,0.00
28/04/2023,41,Vallès Oriental,082021,Sant Celoni,0.06,0.00,0.00,0.06
29/04/2023,11,Baix Llobregat,089058,"Palma de Cervelló, la",1.20,0.00,0.00,1.20
29/04/2023,40,Vallès Occidental,081878,Sabadell,0.00,0.01,0.00,0.01
30/04/2023,42,Moianès,080641,Castellterçol,0.01,0.00,0.00,0.01
30/04/2023,09,Baix Ebre,430069,Aldover,0.00,0.00,0.00,0.00
30/04/2023,23,Noguera,250156,Algerri,0.15,0.06,0.00,0.21
01/05/2023,23,Noguera,250156,Algerri,20.00,0.00,1.00,20.00
