LONGITUD_X,LATITUD_Y,DISTRICTE,TIPUS_CARRER,CARRER
2.157421826,41.37584119,L'EIXAMPLE,CARRER,TAMARIT
2.1691903,41.39614379,L'EIXAMPLE,CARRER,GIRONA
2.1691903,41.39614379,L'EIXAMPLE,CARRER,GIRONA
2.1691903,41.39614379,L'EIXAMPLE,CARRER,GIRONA
2.1691903,41.39614379,L'EIXAMPLE,CARRER,GIRONA
2.173452756,41.40674399,L'EIXAMPLE,CARRER,LEPANT
2.185138077,41.40839102,SANT MARTI,CARRER,CORUNYA
2.16890212,41.39635784,L'EIXAMPLE,CARRER,GIRONA
2.159454431,41.39890168,GRACIA,CARRER,FRANCISCO GINER
2.172827153,41.39837373,L'EIXAMPLE,CARRER,ARAGO
2.150248891,41.37762213,L'EIXAMPLE,CARRER,DIPUTACIO
2.16433523,41.39640409,L'EIXAMPLE,CARRER,ROGER DE LLURIA
2.177524311,41.41838851,HORTA-GUINARDÓ,CARRER,RENAIXENÇA
2.177524311,41.41838851,HORTA-GUINARDÓ,CARRER,RENAIXENÇA
2.170131651,41.40566703,GRACIA,CARRER,SARDENYA
2.129988471,41.37542786,SANTS-MONTJUÏC,CARRER,SANTS
2.181884304,41.40364222,L'EIXAMPLE,CARRER,CASTILLEJOS
