id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32338168,One bedroom apartment Compte Urgell - You Stylish,8130906,Arina You Stylish,Eixample,l'Antiga Esquerra de l'Eixample,41.38709,2.15437,Entire home/apt,186,3,23,2022-09-22,0.51,33,288,8,HUTB-011160
32175751,Spacious 2 Br apt free wifi and equipped for long,109716786,EasyFlat,Eixample,la Dreta de l'Eixample,41.38566,2.16962,Entire home/apt,60,32,1,2019-04-26,0.02,2,314,0,
32178388,Sweet Inn | Trendy 3BR in the Gothic quarter,32037490,SweetInn,Ciutat Vella,el Barri Gòtic,41.379997,2.1781,Entire home/apt,133,2,64,2022-11-18,1.37,118,180,24,HUTB-013143
32347761,Central lovely apartment - 1231,238859197,BBarcelona Corcega Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.39295,2.15226,Entire home/apt,128,3,7,2022-12-02,0.17,4,89,5,HUTB-011016
32650167,1 bedroom flat in the center of Born,16875096,Joan,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38384,2.18235,Entire home/apt,45,31,0,,,1,0,0,Exempt
32184181,Habitación privada con baño privado en BORN,241482522,Susana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38555,2.17847,Private room,30,3,74,2022-11-28,1.61,2,350,22,Exempt
32651553,"LOFT amplio, tranquilo, luminoso, centro histórico",1310304,Luis,Ciutat Vella,el Raval,41.37661,2.16664,Entire home/apt,50,32,1,2019-04-18,0.02,67,163,0,
32348075,Apartment central location - 1241,238859197,BBarcelona Corcega Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.39102,2.15237,Entire home/apt,128,3,20,2022-11-08,0.89,4,93,19,HUTB-008286
32348326,Central balcony apartment - 1242,238859197,BBarcelona Corcega Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.39081,2.15327,Entire home/apt,136,3,25,2022-11-20,0.59,4,96,22,HUTB-011018
32198131,Modern bedroom with private bathroom in Bcn center,65849529,Bastien,Ciutat Vella,el Raval,41.37886,2.1657,Private room,120,2,1,2019-02-27,0.02,1,0,0,Exempt
32348766,Penthouse sunny terrace Apartment - 1271,238859197,BBarcelona Corcega Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.3926,2.15377,Entire home/apt,128,3,15,2022-11-03,1.07,4,100,14,HUTB-005503
32655507,Pretty bedroom in charming house,40846212,Àlex,Gràcia,Vallcarca i els Penitents,41.41244,2.14583,Private room,24,31,61,2022-11-22,1.32,5,87,30,Exempt
32657502,Illuminated double bedroom,40846212,Àlex,Gràcia,Vallcarca i els Penitents,41.41062,2.14636,Private room,26,31,111,2022-11-24,2.43,5,151,47,Exempt
32200111,"Spacious cozy room in Homecelona-Metro ""MARAGALL""",145868022,Jordi,Nou Barris,Vilapicina i la Torre Llobeta,41.42624,2.17724,Private room,30,2,24,2022-11-07,0.52,3,35,13,Exempt
32349515,Exclusive Sagrada familia penthouse with sea views,5264883,Unique,Eixample,la Sagrada Família,41.40794,2.17518,Entire home/apt,146,2,71,2022-11-26,1.54,42,346,27,HUTB-002065
32200318,Be Barcelona - Plaza Catalunya Nice and Comfy 4.1 (MP8),40676061,Be Barcelona,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.39022,2.17785,Entire home/apt,147,1,88,2022-12-11,1.90,22,344,49,HUTB-009453
32203753,Sweet Inn | Stylish 3BR  near Ramblas,32037490,SweetInn,Ciutat Vella,el Barri Gòtic,41.37984,2.17846,Entire home/apt,103,2,85,2022-11-16,1.84,118,156,25,HUTB-013145
32678957,Lovely Gaudi Apartment - 1121,238884286,BBarcelona Gaudí Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40396,2.17118,Hotel room,143,3,0,,,9,87,0,HUTB-008291
32207394,Bright apartment in La Rosa by The Streets,231102415,The Streets Apartments,Gràcia,la Vila de Gràcia,41.39988,2.1586,Entire home/apt,150,1,180,2022-12-06,4.06,2,355,68,HUTB-000049
32679388,Deluxe spacious room in Center Barcelona,58475383,Victor,Ciutat Vella,el Raval,41.3768,2.17387,Private room,38,31,30,2020-02-24,0.67,1,179,0,Exempt
32679428,Gaudi modernist apartment - 1112,238884286,BBarcelona Gaudí Apartments,Eixample,la Sagrada Família,41.4059,2.17094,Hotel room,143,3,1,2019-06-02,0.02,9,81,0,HUTB-008320
32354645,Art Gallery Ent. Apartment,21873399,Sol,Sants-Montjuïc,el Poble Sec,41.37339,2.16288,Entire home/apt,104,3,16,2021-07-17,0.35,38,349,0,HUTB-008596
32355358,Art Gallery Apartment,21873399,Sol,Sants-Montjuïc,el Poble Sec,41.37387,2.1625,Entire home/apt,112,3,5,2022-04-02,0.11,38,343,1,HUTB-008254
32210549,Key Bcn Girona 4.2,2439400,KeyBarcelona,Eixample,la Dreta de l'Eixample,41.39956,2.16408,Entire home/apt,216,1,57,2022-11-02,1.24,45,292,6,HUTB-010589
32356404,Paseo de Gracia Apartment,21873399,Sol,Eixample,la Dreta de l'Eixample,41.40022,2.16454,Entire home/apt,108,3,3,2021-12-17,0.07,38,338,1,HUTB-010245
32680404,Gaudi comfort apartment - 1122,238884286,BBarcelona Gaudí Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40564,2.16933,Hotel room,143,3,0,,,9,75,0,HUTB-008289
